"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"2303",0,0,10,0,0,0,1,NA,0,14887.2511478197
"205",0,0,0,0,0,0,1,NA,0,27486.310347517
"82",20,0,0,0,0,0,0,NA,NA,16345.0165321041
"2846",3,0,0,0,0,0,0,NA,0,15918.2912680013
"759",0,0,0,0,10,0,0,NA,0,15690.4273132293
"1696",45,0,0,0,0,0,0,NA,1,5907.34702597718
"2194",68,0,0,0,0,0,0,NA,NA,13139.4874327953
"1651",0,0,0,0,0,0,0,NA,NA,91752.377715324
"241",15,0,0,0,0,0,1,NA,0,9602.01976622806
"1531",0,0,0,0,0,0,0,NA,NA,101208.506892205
"62",0,0,0,0,0,0,0,NA,NA,25904.0162233854
"187",25,0,0,0,0,0,0,NA,0,15583.8260428996
"2494",0,0,0,4,0,0,1,NA,0,13776.7529479686
"2681",0,0,0,0,0,0,0,NA,NA,127531.976882368
"1584",0,0,0,0,0,0,0,NA,NA,45580.7895021115
"2521",0,0,0,0,0,25,1,0,0,15381.7099558455
"2150",15,0,0,0,0,0,0,NA,0,7115.75696122007
"2449",0,0,0,0,0,0,0,NA,NA,12617.9853319098
"1823",0,0,0,0,0,0,0,0,NA,15811.1126778981
"1089",0,0,0,0,0,0,0,NA,NA,24663.1534222441
"2158",15,0,0,0,0,0,0,NA,0,7097.83475880499
"259",0,0,0,0,0,0,0,NA,NA,12679.7251362158
"109",0,0,0,0,0,0,0,NA,NA,13313.1387116829
"1623",15,0,0,0,0,0,0,NA,0,7222.44164555111
"1515",0,0,30,0,0,0,0,NA,0,8332.32080106236
"1999",0,0,0,0,0,4,1,NA,0,13776.7529479686
"1643",0,0,0,0,0,0,0,NA,NA,16349.5607305178
"1440",0,0,0,0,0,0,0,NA,NA,74647.2010822758
"2617",0,0,0,0,0,0,0,NA,NA,289822.709184664
"2592",0,0,0,0,30,0,0,NA,0,28278.5718850321
"713",5,0,0,0,0,0,1,NA,0,11347.4621594706
"2289",0,0,0,0,15,0,1,0,0,44722.4717931339
"1871",0,0,0,0,0,0,0,NA,NA,44228.9573488463
"1130",0,0,0,0,0,0,0,0,NA,9606.77856654345
"2576",0,0,0,0,0,0,0,NA,NA,11065.7829113286
"2410",0,0,0,0,0,0,0,NA,NA,20882.7417776823
"2442",68,0,0,0,0,0,0,NA,0,12086.2294585598
"473",0,0,0,4,0,0,0,NA,1,24954.8944627541
"2166",10,0,0,0,0,0,1,NA,0,7814.90754162918
"2567",0,0,0,0,0,0,0,NA,NA,78094.6090536562
"2789",0,0,0,0,0,0,0,NA,NA,178739.265464043
"578",0,0,0,0,0,0,0,0,NA,17920.2255900237
"1865",0,0,0,0,0,0,1,1,NA,12959.6663778611
"2360",0,0,0,0,0,0,0,0,NA,16442.1248940512
"1555",0,0,0,0,0,0,0,NA,NA,66431.9463297919
"1458",10,0,0,0,0,0,0,NA,0,6922.08082857418
"753",0,0,0,0,0,0,0,NA,NA,93344.1321392375
"287",5,0,0,0,0,0,0,NA,0,11347.4621594706
"899",0,0,0,0,0,0,0,NA,NA,7132.18629132531
"2440",0,0,0,0,0,0,0,NA,NA,60800.877544526
"119",0,0,0,0,0,0,1,NA,0,15811.1126778981
"2658",0,0,0,0,0,0,0,NA,NA,97165.9380827221
"1637",0,0,0,0,0,0,0,NA,NA,9921.61452430036
"546",60,0,0,0,0,0,1,NA,0,11084.1439543376
"2225",40,0,0,0,0,0,1,NA,0,7594.2121080529
"1470",0,0,0,0,0,0,0,NA,NA,116816.203081445
"1125",30,0,0,0,0,0,0,NA,0,5525.79141125632
"2750",0,0,0,0,0,0,0,NA,NA,12325.9167894237
"858",0,0,0,0,0,0,0,NA,NA,78103.6784890294
"2373",0,0,0,0,0,0,0,NA,NA,261139.752915256
"667",0,0,0,0,0,0,0,NA,NA,18518.9897006938
"2531",0,0,0,0,0,0,0,NA,0,9471.12002997913
